,incident_date,incident_parent,location,neighborhood,council_district,police_district
3916,2020-12-18 00:54:00,Assault,-78.807 42.922,Schiller Park,LOVEJOY,District E
3917,2020-12-18 01:00:00,Breaking & Entering,-78.877 42.919,Elmwood Bidwell,DELAWARE,District D
3918,2020-12-18 01:52:00,Theft,-78.9 42.959,Riverside,NORTH,District D
3919,2020-12-18 03:00:00,Sexual Assault,-78.845 42.916,Schiller Park,LOVEJOY,District E
3920,2020-12-18 03:14:00,Robbery,-78.869 42.958,North Park,DELAWARE,District D
3921,2020-12-18 04:00:00,Assault,-78.826 42.926,Delavan Grider,MASTEN,District E
3922,2020-12-18 04:13:00,Theft,-78.845 42.944,Central Park,DELAWARE,District D
3923,2020-12-18 06:00:00,Robbery,-78.859 42.947,North Park,DELAWARE,District D
3924,2020-12-18 08:00:00,Theft,-78.874 42.915,Elmwood Bidwell,DELAWARE,District D
3925,2020-12-18 09:00:00,Assault,-78.825 42.931,Delavan Grider,MASTEN,District E
3926,2020-12-18 09:07:00,Robbery,-78.854 42.922,Hamlin Park,MASTEN,District E
3927,2020-12-18 09:50:00,Theft,-78.865 42.914,Elmwood Bryant,ELLICOTT,District B
3928,2020-12-18 09:50:00,Theft,-78.833 42.932,Fillmore-Leroy,MASTEN,District E
3929,2020-12-18 10:10:00,Theft,-78.806 42.893,Lovejoy,LOVEJOY,District C
3930,2020-12-18 10:11:00,Breaking & Entering,-78.86 42.909,Masten Park,ELLICOTT,District B
3931,2020-12-18 11:52:00,Assault,-78.835 42.894,Broadway Fillmore,FILLMORE,District C
3932,2020-12-18 11:54:00,Sexual Offense,-78.851 42.916,Hamlin Park,MASTEN,District E
3933,2020-12-18 12:00:00,Breaking & Entering,-78.89 42.896,Lower West Side,ELLICOTT,District B
3934,2020-12-18 12:27:00,Breaking & Entering,-78.871 42.899,Fruit Belt,ELLICOTT,District B
3935,2020-12-18 13:24:00,Theft,-78.836 42.893,Broadway Fillmore,FILLMORE,District C
3936,2020-12-18 13:40:00,Sexual Offense,-78.862 42.92,Elmwood Bidwell,ELLICOTT,District D
3937,2020-12-18 14:17:00,Theft,-78.837 42.878,Broadway Fillmore,FILLMORE,District C
3938,2020-12-18 15:08:00,Sexual Offense,-78.812 42.873,Kaisertown,LOVEJOY,District A
3939,2020-12-18 15:15:00,Sexual Offense,-78.877 42.913,Elmwood Bryant,NIAGARA,District B
3940,2020-12-18 16:30:00,Sexual Offense,-78.89 42.915,Upper West Side,NIAGARA,District D
3941,2020-12-18 17:53:00,Theft,-78.829 42.918,Delavan Grider,MASTEN,District E
3942,2020-12-18 18:00:00,Sexual Offense,-78.833 42.895,Upper West Side,NIAGARA,District D
3943,2020-12-18 18:13:00,Theft,-78.905 42.952,Riverside,NORTH,District D
3944,2020-12-18 18:14:00,Assault,-78.881 42.893,Lower West Side,FILLMORE,District B
3945,2020-12-18 18:30:00,Theft,-78.842 42.898,Broadway Fillmore,FILLMORE,District C
3946,2020-12-18 19:00:00,Sexual Offense,-78.879 42.907,Elmwood Bryant,NIAGARA,District B
3947,2020-12-18 19:22:00,Robbery,-78.841 42.94,Central Park,MASTEN,District D
3948,2020-12-18 20:00:00,Sexual Offense,-78.878 42.954,North Park,NORTH,District D
3949,2020-12-18 20:43:00,Sexual Offense,-78.87 42.922,Elmwood Bidwell,DELAWARE,District D
3950,2020-12-18 21:00:00,Breaking & Entering,-78.834 42.957,University Heights,UNIVERSITY,District E
3951,2020-12-18 21:24:00,Sexual Offense,-78.851 42.948,North Park,DELAWARE,District D
3952,2020-12-18 22:15:00,Sexual Offense,-78.882 42.927,Elmwood Bidwell,NIAGARA,District D
3953,2020-12-18 22:30:00,Sexual Offense,-78.881 42.907,Elmwood Bryant,NIAGARA,District B
3954,2020-12-18 22:46:00,Theft,-78.808 42.868,Kaisertown,LOVEJOY,District A
3955,2020-12-18 23:09:00,Assault,-78.816 42.849,South Park,SOUTH,District A
3956,2020-12-18 23:48:00,Assault,-78.834 42.912,MLK Park,MASTEN,District C
3957,2020-12-19 00:00:00,Sexual Offense,-78.8271395 42.9464646,University Heights,UNIVERSITY,District E
3958,2020-12-19 00:00:00,Sexual Offense,-78.881 42.942,Grant-Amherst,NORTH,District D
3959,2020-12-19 00:06:00,Sexual Offense,-78.802 42.854,Seneca-Cazenovia,SOUTH,District A
3960,2020-12-19 00:20:00,Robbery,-78.826 42.903,Genesee-Moselle,FILLMORE,District C
3961,2020-12-19 00:22:00,Breaking & Entering,-78.85 42.869,Ellicott,FILLMORE,District A
3962,2020-12-19 01:21:00,Assault,-78.864 42.951,North Park,DELAWARE,District D
3963,2020-12-19 02:00:00,Breaking & Entering,-78.877 42.919,Elmwood Bidwell,DELAWARE,District D
3964,2020-12-19 03:11:00,Breaking & Entering,-78.851 42.912,Masten Park,MASTEN,District C
3965,2020-12-19 04:20:00,Assault,-78.829 42.938,Fillmore-Leroy,MASTEN,District E
3966,2020-12-19 05:26:00,Sexual Offense,-78.852 42.954,North Park,DELAWARE,District D
3967,2020-12-19 07:00:00,Theft,-78.844 42.892,Broadway Fillmore,FILLMORE,District C
3968,2020-12-19 08:22:00,Breaking & Entering,-78.822 42.848,South Park,SOUTH,District A
3969,2020-12-19 08:46:00,Sexual Offense,-78.873 42.902,Allentown,FILLMORE,District B
3970,2020-12-19 09:00:00,Sexual Assault,-78.808 42.921,Schiller Park,LOVEJOY,District E
3971,2020-12-19 10:00:00,Assault,-78.877 42.903,Allentown,FILLMORE,District B
3972,2020-12-19 12:00:00,Sexual Offense,-78.872 42.954,North Park,NORTH,District D
3973,2020-12-19 13:00:00,Sexual Offense,-78.812 42.857,Seneca-Cazenovia,SOUTH,District A
3974,2020-12-19 13:27:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
3975,2020-12-19 13:49:00,Assault,-78.878 42.885,Central,ELLICOTT,District B
3976,2020-12-19 14:43:00,Assault,-78.884 42.928,Elmwood Bidwell,NORTH,District D
3977,2020-12-19 15:41:00,Theft,-78.867 42.882,Pratt-Willert,ELLICOTT,District B
3978,2020-12-19 16:55:00,Sexual Offense,-78.885 42.9,Lower West Side,ELLICOTT,District B
3979,2020-12-19 17:02:00,Theft,-78.816 42.896,Genesee-Moselle,FILLMORE,District C
3980,2020-12-19 17:31:00,Assault,-78.862 42.896,Fruit Belt,ELLICOTT,District B
3981,2020-12-19 17:55:00,Sexual Offense,-78.89 42.912,West Side,NIAGARA,District B
3982,2020-12-19 17:55:00,Theft,-78.826 42.874,Seneca Babcock,FILLMORE,District A
3983,2020-12-19 19:00:00,Sexual Assault,-78.808 42.914,Schiller Park,LOVEJOY,District C
3984,2020-12-19 19:00:00,Theft,-78.903 42.938,Black Rock,NORTH,District D
3985,2020-12-19 19:53:00,Sexual Offense,-78.878 42.903,Elmwood Bryant,ELLICOTT,District B
3986,2020-12-19 20:00:00,Theft,-78.907 42.944,Lovejoy,FILLMORE,District C
3987,2020-12-19 20:32:00,Assault,-78.9 42.939,Black Rock,NORTH,District D
3988,2020-12-19 20:35:00,Assault,-78.802 42.89,Lovejoy,LOVEJOY,District C
3989,2020-12-19 21:00:00,Theft,-78.851 42.948,North Park,DELAWARE,District D
3990,2020-12-19 21:14:00,Assault,-78.816 42.844,South Park,SOUTH,District A
3991,2020-12-19 23:06:00,Sexual Assault,-78.85 42.926,Hamlin Park,MASTEN,District E
3992,2020-12-19 23:31:00,Assault,-78.893 42.907,West Side,NIAGARA,District B
